ProfessionalDetails,Tier
Geographical information systems officer,Professional
Telecommunications researcher,Manager
Conference centre manager,Professional
Armed forces technical officer,Professional
Podiatrist,Lead
Farm manager,Lead
"Conservator, museum/gallery",Lead
Herpetologist,Lead
Electrical engineer,Manager
Radiation protection practitioner,Professional
Archaeologist,Professional
"Development worker, international aid",Professional
Manufacturing engineer,Professional
Seismic interpreter,Freelancer
Economist,Freelancer
Horticultural therapist,Professional
Mechanical engineer,Manager
Educational psychologist,Professional
"Psychologist, occupational",Freelancer
Surgeon,Lead
"Administrator, sports",Freelancer
Building surveyor,Lead
Applications developer,Freelancer
Community arts worker,Lead
"Engineer, technical sales",Manager
Equities trader,Lead
Social researcher,Professional
Geochemist,Lead
"Nurse, mental health",Professional
Geophysicist/field seismologist,Freelancer
"Production assistant, radio",Manager
"Surveyor, quantity",Lead
"Civil engineer, consulting",Professional
Market researcher,Lead
"Designer, interior/spatial",Professional
Research scientist (medical),Manager
Health and safety adviser,Lead
Data processing manager,Freelancer
Biomedical engineer,Professional
Community arts worker,Manager
Orthoptist,Freelancer
Food technologist,Professional
Research scientist (life sciences),Professional
Futures trader,Professional
Magazine features editor,Professional
Geoscientist,Professional
Purchasing manager,Professional
Mining engineer,Lead
Trade union research officer,Freelancer
Technical brewer,Professional
"Editor, film/video",Freelancer
Barrister,Lead
IT technical support officer,Freelancer
"Engineer, land",Lead
Early years teacher,Lead
Hydrologist,Professional
Freight forwarder,Freelancer
Social worker,Lead
Actuary,Freelancer
Glass blower/designer,Professional
Environmental manager,Freelancer
Ergonomist,Freelancer
Financial trader,Lead
Aeronautical engineer,Lead
Air cabin crew,Lead
"Designer, television/film set",Lead
Police officer,Lead
"Therapist, sports",Freelancer
"Secretary, company",Professional
Personal assistant,Manager
Financial controller,Freelancer
Planning and development surveyor,Professional
Academic librarian,Lead
Freight forwarder,Lead
Museum/gallery curator,Lead
Civil Service fast streamer,CXO
Brewing technologist,Lead
Theatre director,Manager
"Designer, blown glass/stained glass",Professional
Field trials officer,Professional
Trade mark attorney,Manager
Clinical biochemist,Professional
"Surveyor, planning and development",Professional
Field seismologist,Professional
"Therapist, music",Professional
Dancer,Lead
"Horticulturist, amenity",Lead
Stage manager,Professional
Research scientist (medical),Professional
Aeronautical engineer,Manager
Warden/ranger,Professional
"Biochemist, clinical",Lead
"Surveyor, insurance",Freelancer
"Lecturer, further education",Professional
"Geneticist, molecular",Professional
Leisure centre manager,Professional
"Editor, commissioning",Professional
Neurosurgeon,Professional
Radio broadcast assistant,Manager
Art therapist,Professional
Community arts worker,Freelancer
"Journalist, broadcasting",Professional
"Horticulturist, amenity",Professional
Naval architect,Manager
Special educational needs teacher,Professional
"Accountant, chartered management",Manager
"Teacher, primary school",Lead
Energy engineer,CXO
"Programmer, systems",Lead
Physiotherapist,Manager
"Surveyor, minerals",Professional
"Librarian, academic",Freelancer
Aid worker,Lead
Brewing technologist,Professional
Trade union research officer,Professional
Communications engineer,CXO
"Engineer, structural",Professional
Armed forces operational officer,Professional
Operational researcher,Professional
Pharmacologist,Lead
"Engineer, biomedical",Lead
"Conservator, furniture",Professional
Geophysical data processor,CXO
Intelligence analyst,Manager
Fisheries officer,Freelancer
"Programmer, multimedia",Professional
"Scientist, research (medical)",Professional
"Production assistant, television",Professional
IT trainer,Professional
Bonds trader,Freelancer
Arboriculturist,Manager
Clinical embryologist,Lead
"Pharmacist, community",CXO
Broadcast presenter,Professional
"Psychologist, forensic",Lead
Press photographer,Freelancer
Hydrographic surveyor,Freelancer
Youth worker,Lead
Forensic psychologist,Freelancer
Chartered management accountant,Professional
"Psychologist, educational",Professional
Volunteer coordinator,Lead
"Pilot, airline",Lead
"Exhibitions officer, museum/gallery",Lead
Oceanographer,Professional
Midwife,Freelancer
Microbiologist,Freelancer
Recycling officer,Professional
Aeronautical engineer,Professional
Contractor,Professional
Clinical cytogeneticist,Lead
Neurosurgeon,Professional
Energy engineer,CXO
Corporate treasurer,Freelancer
Occupational therapist,Professional
"Optician, dispensing",CXO
Chief Executive Officer,Freelancer
Legal executive,Professional
"Designer, industrial/product",Lead
Audiological scientist,Lead
Call centre manager,Professional
"Physicist, medical",Freelancer
Publishing copy,Professional
Accommodation manager,Freelancer
Pathologist,Professional
"Engineer, biomedical",Professional
Television camera operator,Lead
Herbalist,Freelancer
Ambulance person,Lead
"Psychologist, educational",Manager
Counselling psychologist,Professional
"Producer, radio",Lead
Arts development officer,Lead
Youth worker,Freelancer
General practice doctor,Freelancer
Financial risk analyst,Professional
"Geologist, wellsite",Freelancer
Herpetologist,Professional
Transport planner,CXO
Museum education officer,Freelancer
Insurance account manager,Manager
"Education officer, environmental",Professional
Civil Service fast streamer,Manager
Equities trader,Freelancer
Operational researcher,Lead
"Production designer, theatre/television/film",Professional
Emergency planning/management officer,Professional
Secondary school teacher,Professional
Data scientist,Lead
Special effects artist,Lead
"Designer, exhibition/display",Freelancer
Fine artist,Freelancer
"Radiographer, therapeutic",Manager
Sport and exercise psychologist,Manager
Careers information officer,Professional
Economist,Professional
Emergency planning/management officer,Professional
Field trials officer,Freelancer
Clinical biochemist,Manager
"Buyer, retail",Professional
"Runner, broadcasting/film/video",Lead
"Designer, television/film set",Lead
Tourism officer,Professional
Haematologist,Freelancer
Colour technologist,Professional
Purchasing manager,Professional
"Engineer, technical sales",CXO
Hydrographic surveyor,Professional
Town planner,Freelancer
Multimedia programmer,Freelancer
Actor,Freelancer
Retail manager,Professional
"Surveyor, building control",Lead
Commercial/residential surveyor,Professional
Banker,Lead
Learning mentor,Manager
Arts development officer,Lead
Psychiatric nurse,Professional
"Designer, ceramics/pottery",Freelancer
"Production assistant, radio",Professional
Bonds trader,Professional
Manufacturing systems engineer,Professional
"Lecturer, higher education",Professional
Outdoor activities/education manager,Lead
Pensions consultant,Lead
Soil scientist,Professional
Insurance risk surveyor,Manager
Agricultural consultant,CXO
"Radiographer, diagnostic",Professional
Trading standards officer,Freelancer
Economist,Professional
Electronics engineer,Freelancer
Warehouse manager,Lead
Retail manager,Professional
"Lecturer, higher education",Freelancer
Brewing technologist,Freelancer
Building surveyor,Professional
"Designer, ceramics/pottery",Professional
Air broker,Manager
Company secretary,Freelancer
Paediatric nurse,Freelancer
Broadcast engineer,Professional
Social worker,Professional
Educational psychologist,Freelancer
"Social research officer, government",Lead
Retail merchandiser,Professional
"Conservator, museum/gallery",Professional
Management consultant,Lead
Sports administrator,Professional
General practice doctor,Lead
"Production assistant, radio",Professional
Television floor manager,Manager
Proofreader,Professional
"Nurse, mental health",Manager
"Conservator, furniture",Lead
"Journalist, broadcasting",Professional
Rural practice surveyor,Professional
Commercial art gallery manager,Lead
Physiological scientist,Freelancer
Agricultural engineer,Freelancer
Lexicographer,Professional
Market researcher,Professional
Physiological scientist,Professional
Television/film/video producer,Freelancer
Art gallery manager,Lead
Local government officer,Freelancer
Clinical cytogeneticist,Professional
Energy manager,Professional
Intelligence analyst,Professional
"Designer, exhibition/display",Professional
Systems analyst,Professional
"Administrator, local government",Professional
Architect,Professional
"Engineer, biomedical",Professional
Proofreader,Lead
Social researcher,Freelancer
Insurance account manager,Professional
"Psychologist, prison and probation services",Manager
Structural engineer,Professional
Clinical biochemist,Lead
Astronomer,Manager
Dramatherapist,Manager
Fish farm manager,Professional
Paediatric nurse,Professional
Corporate treasurer,Lead
"Surveyor, quantity",Professional
